146  ALL-INDIA  RAINFALL    (1871-2016)          30 SUBDIVISIONS AREA 2880324 SQ.KM.                        
 Monthly,Seasonal and Annual rainfall (in 10th of mm) 1871-2016 (1871-2014 based on 306       
 stations and 2015-2016 based on IMD Subdivisional rainfall)                                  
----------------------------------------------------------------------------------------------------------
YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    JF   MAM  JJAS   OND   ANN
1943    405    75   113   352   765  1533  2971  2137  2041   985   186    35   480  1230  8682  1206 11598
1944    189   280   506   238   400  1372  3460  2974  1397   954   300    88   469  1144  9203  1342 12158
1945    236    56    47   339   405  1588  3137  2257  2126   829   200    28   292   791  9108  1057 11248
1946     10   111   151   431   527  2075  2822  2767  1372   885   850   316   121  1109  9036  2051 12317
1947    169   109   162   306   395  1227  2909  2960  2357   688    67   194   278   863  9453   949 11542
1948    254   141   118   275   652  1505  2794  2608  1832   659   815    35   395  1045  8739  1509 11688
1949     41   109    53   370   804  1380  2946  2382  2329   997   106    11   150  1227  9037  1114 11527
1950     58   178   224    80   440  1468  3229  2237  1835   520   331    72   235   744  8769   922 10672
1951     59    21   279   362   470  1551  2543  2076  1218   795   339     9    80  1111  7388  1143  9722
1952     22   115   153   273   647  1617  2766  2367  1179   811    63   180   137  1073  7929  1054 10193
1953    192    43   101   273   366  1563  3000  2868  1798   932   137    18   235   740  9229  1087 11291
1954    129   162   118   197   442  1382  2837  2229  2405   798    18   134   291   757  8853   950 10851
1955    156    29   125   284   659  1797  2239  3039  2225  1452   315   106   185  1068  9300  1873 12426
1956     86    72   162   226   870  2079  3415  2538  1800  1525   484    90   158  1258  9832  2099 13347
1957    244    70   260   191   494  1453  2619  2603  1210   597   261    65   314   945  7885   923 10067
1958     70   106    97   282   602  1151  2899  2701  2142  1020   350    49   176   981  8893  1419 11469
1959    203   102    96   228   585  1573  3211  2501  2156  1333   214    43   305   909  9441  1590 12245
1960     89    11   232   130   555  1461  2777  2502  1657   761   391    50   100   917  8397  1202 10616
1961    166   245   163   175   675  1870  3162  2737  2433  1257   186    71   411  1013 10202  1514 13139
1962     91   110   115   346   581  1059  2594  2363  2082   844   152   288   201  1042  8098  1284 10625
1963     73    52   141   321   472  1525  2396  3029  1629   989   229   100   125   933  8579  1318 10956
1964     14    58    83   249   437  1437  3130  2637  2021   734   258    65    72   769  9225  1057 11123
1965     55    92   149   243   346  1104  2669  1894  1427   362   158   221   147   737  7093   741  8719
1966    147    52    51   161   520  1658  2375  1982  1384   580   612   179   199   732  7399  1370  9701
1967     92    27   528   225   333  1414  2924  2574  1689   420   132   496   119  1086  8601  1048 10853
1968    150   121   201   269   316  1365  2886  1947  1348   703   238    70   271   786  7546  1011  9614
1969     40    28    95   242   557  1210  3004  2387  1709   596   439   139    68   894  8310  1174 10446
1970    169   207   184   240   580  2108  2228  2989  2073   762   194     8   376  1004  9398   964 11742
1971    114   103    93   460   702  2194  2493  2588  1593  1052   138   100   217  1255  8868  1290 11630
1972     25   131    48   206   448  1226  1838  2172  1292   633   308   160   156   702  6528  1101  8487
1973     47   119    78   195   488  1412  2787  3075  1860  1259   196   178   165   761  9134  1633 11694
1974     19    39   139   222   606  1059  2736  2282  1403  1066   119    42    58   967  7480  1227  9732
1975     67    96   137   164   406  1801  2901  2647  2278  1217   250    28   163   707  9627  1495 11992
1976     47    81   125   298   367  1419  2882  2786  1481   319   617    40   128   790  8568   976 10462
1977     70    57    84   489   719  1883  3106  2395  1448   893   714    86   127  1292  8832  1693 11944
1978     73   216   195   234   503  1996  2761  2735  1601   551   442   230   289   932  9093  1223 11537
1979    146   273    99   158   405  1434  2258  1990  1395   461   883   120   419   662  7077  1464  9622
1980     44    53   169   246   441  2151  2783  2534  1360   518   242   178    97   856  8828   938 10719
1981    163    73   247   276   583  1387  2889  2263  1983   510   292   128   235  1106  8522   930 10793
1982    167   111   249   366   504  1296  2163  2685  1210   487   504    57   278  1119  7354  1048  9799
1983     73   106   127   354   549  1378  2737  2934  2507   900   122   262   179  1030  9556  1284 12048
1984    161   266   122   279   390  1739  2612  2591  1425   601   132    78   427   791  8367   811 10396
1985    171    69    96   236   439  1404  2534  2185  1475  1138   193   131   240   771  7598  1462 10071
1986    148   281    75   310   435  1776  2384  2135  1135   707   386   169   429   820  7430  1262  9941
1987    113    93   167   216   448  1158  2068  2370  1375   867   542   235   206   831  6971  1644  9652
1988     25   112   188   319   503  1565  3232  2762  2056   502   225   102   137  1010  9615   828 11591
1989     61    38   191   166   426  1835  2862  2311  1658   485   149   121    99   783  8666   755 10303
1990     52   256   237   299  1077  1721  2630  2836  1899  1007   335    88   308  1612  9086  1430 12437
1991     90    75   127   263   506  1858  2607  2431  1265   649   353   146   165   896  8161  1148 10370
1992     55    78    40   130   494  1367  2552  2724  1505   618   446    42   133   664  8148  1105 10051
1993     44   131   174   256   522  1660  2811  1894  2095   902   309   207   175   952  8460  1418 11005
1994    147   147   125   350   398  2033  3341  2706  1495   874   299    40   294   873  9575  1213 11955
1995    271   102   184   173   782  1217  2847  2439  1693   874   348    47   373  1139  8196  1269 10977
1996    123   132   115   242   403  1769  2454  2737  1550   951   129   173   255   760  8510  1253 10778
1997    100    36   144   378   395  1653  2691  2541  1660   714   586   568   136   917  8545  1868 11466
1998    122   125   261   284   417  1440  2597  2441  2114  1179   458   124   247   962  8592  1760 11562
1999     44    93    26   128   914  1677  2499  2027  1875  1268   167    40   137  1068  8078  1475 10757
2000     50   215    74   278   785  1880  2570  2169  1239   453   129    75   265  1137  7858   657  9917
2001     48    63   101   355   608  2203  2680  1899  1163  1156   190   109   111  1064  7944  1455 10575
2002    117   140   127   262   548  1703  1213  2278  1274   651   208    40   257   937  6468   898  8561
2003     42   233   178   231   263  1617  2931  2272  1741  1024   128   120   275   672  8561  1272 10780
2004    138    29    53   425   800  1600  2180  2425  1212   962   168    17   167  1278  7417  1147 10009
2005    184   123   213   339   434  1422  2970  1879  2014  1132   259   122   307   986  8285  1512 11091
2006     11    26   317   254   858  1547  2851  2900  1755   617   334    39    37  1429  9053   990 11509
2007      8   288   142   322   450  1949  2796  2577  2149   582   168   172   296   914  9471   922 11602
2008    111   109   405   216   441  2035  2444  2629  1714   533   313    51   220  1062  8822   897 11001
2009     36    18    98   136   496   899  2688  1952  1481   763   574   132    53   730  7020  1469  9273
2010     63    48    93   293   616  1383  2915  2571  1988   802   713   221   111  1002  8857  1736 11706
2011     24   111    88   334   500  1846  2402  2809  1972   426   217    60   135   922  9029   703 10789
2012    182    25    39   343   252  1127  2520  2576  1828   650   344    57   207   634  8051  1051  9943
2013     47   265    99   273   549  2285  3122  2467  1599  1397   149    39   312   921  9473  1584 12291
2014    133   233   211   134   648   908  2564  2190  1702   618   150    99   366   993  7364   867  9590
2015    152    42   375   540   458  1862  2305  1855  1259   366   443   123   194  1373  7281   932  9780
2016     50    50   139   199   604  1475  2981  2306  1687   521    80    70   100   942  8449   671 10162
----------------------------------------------------------------------------------------------------------
     Values are up to 1 decimal                                                               
----------------------------------------------------------------------------------------------------------
MEAN    107   124   152   264   527  1630  2725  2422  1703   775   308   117   232   944  8481  1201 10859
P-Ann     9    11    14    24    48   150   250   223   156    71    28    10    21    86   781   110  1000
 SD      75    88    93    90   159   362   373   375   365   286   182    93   115   204   831   344  1010
 CV     702   708   612   344   302   222   137   155   214   369   590   794   499   216    98   286    93
----------------------------------------------------------------------------------------------------------
146 NORTHWEST INDIA RAINFALL    (1871-2016)       6 SUBDIVISIONS AREA  634272 SQ.KM.                        
 Monthly,  Seasonal and Annual rainfall (in 10th of mm) 1871-2016 (1871-2014 based on 306     
 stations and 2015-2016 based on IMD Subdivisional rainfall                                   
----------------------------------------------------------------------------------------------------------
YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    JF   MAM  JJAS   OND   ANN
----------------------------------------------------------------------------------------------------------
1871     27    89     0    14   293  1211  1938  1152   306    19   143    53   115   307  4607   215  5245
1872     50    19    16    16    99   795  1860  2177   715     3     0    59    69   131  5547    62  5809
1873     20   111    13    16   179   497  1912  1718   918   110    19    17   131   208  5045   146  5530
1874     41    30    47     3    72   880  1892  1398   539     0     0     1    71   122  4709     1  4903
1875      4   217    37    14   151   329  2025   968  2387    47     0    50   221   202  5709    97  6229
1876      4    19    48    52   108   306  2227  1098  1025    81     9     0    23   208  4656    90  4977
1877    134   205    49    64   158   385   550   159   790   525    59   349   339   271  1884   933  3426
1878     58    83    11    99   319   786  2756  2698  1043    44     0    16   141   429  7283    60  7913
1879     13   123    41     1    50  1212   708  2638   739   107     0    57   136    92  5297   164  5689
1880      7    86     0     0    43   613  2114   949  1285   249    11    60    93    43  4961   320  5416
1881      6    51   150    98    68   401  3295  1769   514    21     0    25    57   316  5979    46  6398
1882    157    54     0    13    82   803  3078   809   947     0     7     1   211    95  5636     8  5951
1883    210     3    66     5   334   604  1919   368  1394   153    27     4   213   405  4284   184  5087
1884     33    34    16     1    39   959  2422  1285  2167    69     3    22    67    56  6833    94  7050
1885    164     6    12    41   236   603  1598  2362   128   122     3   115   170   289  4691   240  5390
1886     74     4    85     8   149  1144  2591  1292   228   246     5    15    78   242  5255   266  5841
1887     88     3     1    10    10   732  2509  1763   407    15    64    27    91    21  5411   106  5629
1888    128   160    32    12    12   363  1291  2089   257    54   160     0   288    56  4000   214  4558
1889    100   138    29    25   254   828  1918  2267   158    98     0     0   238   308  5171    98  5815
1890     12     5    51    20    26  1073  1707  1254   355    49    12   139    17    97  4389   200  4703
1891    176    16   185    26    87   115  2123   954   828    84     0     0   192   298  4020    84  4594
1892    120    25     2     0   129   448  2165  2222  2009    89     1   117   145   131  6844   207  7327
1893    192   198    84    18   214  1802  2002  1172  1505    16   304    26   390   316  6481   346  7533
1894    259    48    50     7    50  1794  3126  1048  1031   260    18   210   307   107  6998   488  7901
1895    162    31    83    42    11   730  1529  1480   206    81     0     9   193   136  3945    90  4364
1896     15    53    22     0    29  1148  1923  1653   102     6   221    69    68    51  4826   296  5241
1897     41    13    17    48    39   228  1739  2167   880   126     0     5    53   104  5014   131  5303
1898      7   305     0     1   126   643  2098   588   845     0     7   119   312   127  4174   125  4739
1899      0    14     0    35    78   966   469   101    84     4     0     4    14   113  1620     8  1755
1900     48     6     7   115   123    94  1329  2903  1614     7    17    97    54   245  5940   121  6360
1901    138    88    41    10    85   146  1305  1078    92    52     0    10   226   136  2621    62  3045
1902     13     2    11    21    78   370  1305  1248  1297    66     1    22    15   110  4220    89  4434
1903     44    14    73     1    94   123  2486  1408  1062    60     0     9    58   168  5079    69  5374
1904     53    49   266     2   159   290  1260   997   561    21    45    98   102   427  3108   164  3800
1905    109    89    42    21    14   108  1742   189   641     2     0    17   198    77  2680    19  2974
1906      8   369   111     2    10   733  1651  1272  1256    41     0    39   377   123  4912    80  5492
1907     50   371   102   119    64   277  1415  3052    36     0     0     0   421   284  4780     0  5486
1908    137    17     1    59    68   335  3030  2947   469    30    11     2   154   128  6781    42  7106
1909     50    60     0   264    21   972  2415  1327  1334    12     0   186   110   285  6048   198  6641
1910     63    13     0    26     8  1337  1329  2233   592   180    16     4    76    34  5491   200  5801
1911    207     8   390     7     2   656   261   482   769    47   105     1   215   399  2168   153  2935
1912    142    32    17    41    40   440  2921  1677   353    65   100     7   174    98  5391   172  5835
1913      1   126    74     3   272  1406  1756  1103   606     4     7    95   127   349  4871   106  5453
1914     28    64    15    83    82  1085  2262   813  1410   106    56     6    92   180  5570   168  6009
1915    134   268   220    24    36   429   688   542   411   469     0     5   401   280  2070   474  3225
1916     11    33     4    18   121   542  1359  2724  1226   293     5     0    44   143  5851   298  6336
1917     32    50    28   187   725  1055  1744  2795  2574  1367     0    15    82   940  8168  1382 10572
1918     20     0    76    48    41   189   387  1036   134     0    13     4    20   165  1745    17  1948
1919    217    16    20    53   110   254  1801  2355   525    58   112    70   233   183  4935   240  5591
1920    130    55    37    13   448  1180  1838   685   117     1     0     1   185   498  3820     2  4505
1921     67     3     0     4     1   168  2240  1071  1512    64     0    19    70     5  4991    83  5149
1922     45    20     2     7    34   527  1593   735  1535    38     6    90    65    43  4390   134  4632
1923     66   191    20    15   156    80  1867  1779   300    18     3    84   257   191  4025   105  4578
1924    108    72     4     2    80   328  1727  1383  1582   145     8   143   180    86  5020   296  5582
1925     19     1     0     8   122  1360  1466   506   109    25    97     0    20   130  3441   122  3713
1926     68    13   214    43   278   113  2019  2837  2038     4     3     8    81   535  7007    15  7638
1927      0   130    30    16    75   462  3100  1589   482   126    96   239   130   121  5633   461  6344
1928     47    80    10    15    12   254  1874  1548   602   281   128    50   127    37  4278   459  4901
1929     44     4     0    56    59   490  2354  1311   149    53     0   159    48   115  4304   212  4679
1930     96    32    10    23   129   850  2268   849   411   259     2    16   128   161  4378   277  4945
1931     15    48    38     3   104   118  1639  2882   408   428    13     5    63   145  5047   446  5701
1932     22    18    91    18    51   216  2492  1177   494    68     0    44    40   160  4379   112  4691
1933      5    96    60   112   469  1030  1565  2928  1430    67    35    16   101   641  6953   118  7813
1934     40     2   143     5    26  1055  1208  2618   458     2    29    40    42   174  5338    71  5626
1935    185    75    34   134    10   323  2460   818   933    82    20    51   260   178  4533   153  5125
1936      4    94    69     9    23  1152  1013   911   867    14   202    56    97   101  3943   272  4414
1937      4   300    16    53    35   845  2980   249  1155    35     1   136   304   104  5229   172  5808
1938    108    29     3    10    78  1273  1412   859    82    91     0     3   137    91  3626    94  3948
1939     10   243   118     6     0   350   776  1064   428     8     5     0   253   124  2618    13  3007
1940    233   151   128    21    20   674  1141  2007   305   150    79     0   384   169  4127   229  4909
1941    145    45    16     1    88   405  2266  1301   304    21     0    31   190   105  4276    52  4623
1942     98   218    15    37   131   450  2494  2305   917     4     0    61   316   183  6166    65  6730
1943     88     2     8    36    77   521  2815   600   837    84     1     0    90   121  4773    85  5069
1944    144   115   183   119    29   568  2818  3220   313    73     2    14   259   331  6918    89  7598
1945    242     0    16    46   126   905  2855  1460  1642    19     0     0   242   188  6862    19  7311
1946      1    57     6     9    89  1126  1372  2453   516    68   106   115    57   104  5466   289  5917
1947     55    37    13   189    12    51   949  2143  2118    89     9    52    92   214  5261   149  5717
1948    250   152    94     9    14   302  1397  1366   494   102    92    24   402   116  3559   218  4296
1949     27    89     4     5    39   295  2381  1219   917    48     6     8   115    48  4812    62  5037
1950     67    30    66     1    34    98  3457  1078  1651     1     0     0    97   101  6284     1  6483
1951     30     3   108    65    89   389  1121  1195    78    18   260     1    33   262  2783   279  3356
1952     25    60    41    11    26   743  2620  1439    57     3     6    11    85    78  4859    20  5042
1953    215     2     0    27    24   580  1511  3083   602     9     0    15   217    51  5776    24  6068
1954     64   255    37     0    10   521  1986  1085  2206   199     5     4   319    47  5798   208  6372
1955     78    16    41    24    62   524   562  2628  1755   755     0     5    94   127  5469   760  6450
1956     56    10   117     8    56   495  3411  1861   587  1056     4    23    66   181  6354  1083  7684
1957    249     5   235    10    86   623  1878  1483   411    92    89    48   254   331  4395   228  5209
1958     48     5    13    12    22   366  1904  1230  2356   230   112    77    53    47  5856   419  6375
1959     72    35    17    36   148   502  3406  1647  1747   600    89     0   107   201  7302   689  8299
1960     32     0    73    15    44   720  1588  1739   243    54     0    59    32   132  4290   113  4567
1961    148   152     4    51    45   885  1913  1645  1996   139    21    19   300   100  6439   179  7018
1962     44    27   114    27    36   157  1904  1252  1468     1    48    45    71   176  4781    94  5122
1963      7    21    72    14    38   310  1147  2219   855   116   168    21    28   124  4531   305  4988
1964     17     5    14     6   180   548  2358  2124   660     1     1    16    22   200  5690    18  5929
1965     58    43    40    47    91    43  2220  1032   337    66    25     0   101   178  3632    91  4002
1966      5   105    25     3   163   743  1415  1079   860    39    11     1   110   190  4097    51  4449
1967      0    11   583     6    17   663  2292  1719   908    52    23   334    11   606  5582   409  6608
1968     63    78    62     1    37   132  1767  1398   125    44     1     8   141   100  3422    53  3715
1969     26    35    35    24    58   253  1552  1083   766     7    49     7    61   117  3654    62  3895
1970     91   161    33     5    70  1007  1285  2623  1500    88     5     0   252   108  6415    93  6868
1971     24    40     3    18   253  1131  1812  1560   956    51     5     0    64   274  5458    56  5852
1972     24    55    14    33    16   578   933  1492   104    11    39    14    79    62  3106    64  3313
1973     43    35    12     1   153   505  1817  2757  1243    67     4    56    78   166  6322   127  6693
1974      2     5     3     6   231   273  1539   835   354   333     0    66     7   240  3001   398  3646
1975     43    35    33     3    30   958  1670  2249  1913   555     0     4    78    66  6790   559  7493
1976     91    84    37    22    98  1009  1930  2374  1043     9   312     0   175   157  6356   321  7009
1977    137    15     4    86   205  1175  2742  1287  1150    26    27    23   152   295  6354    76  6877
1978      4   119   135    34     2  1176  2319  1869   412    46   172    45   122   171  5776   263  6333
1979     76   268    80    27   227   728  1343  2413   263   100   556    36   343   334  4747   692  6116
1980     30    16    79    11    59  1290  2191  1022   288    49    26   167    46   149  4791   242  5228
1981    102    38   132     2    79   482  2225  1396   633   114   499     3   140   213  4736   616  5705
1982    134    52   199   269   509   216  1445  1605   102    79   468    62   185   977  3368   609  5140
1983    105    33    36   418   293   842  2344  2127   797   278     0     9   138   747  6110   287  7282
1984      5    78    14    21     4   403  1580  1951   945     8     1     3    83    39  4879    12  5013
1985     12     1    15    98    83   185  1597  1406   223   618     0    78    13   196  3410   696  4316
1986     16   132    37    20   197   816  1455  1002   136    46    11    18   148   254  3409    75  3886
1987     68    50    53    14   310   409   441  1031    90    54    28   100   118   377  1971   182  2648
1988     23    36    95    42    16   448  2869  1579  1356    61     2    34    58   153  6251    97  6561
1989    120     4    51     3     6   700  1632  1869   364    14    18    30   124    60  4564    62  4811
1990      2   270    38    13   193   435  1850  2664  1120    91    38    57   272   244  6069   186  6771
1991      2    58    19    89    24   328  1541  1100   253     2     9    45    60   131  3222    56  3470
1992    100    67    31     3    70   410  2043  1595  1131   139    43     1   167   104  5178   183  5633
1993     20    56    50    40    43   689  2645   401   911    98    39     0    76   133  4646   137  4992
1994    160    26     7   109    40  1035  2725  1959  1303     1     2     3   186   156  7022     6  7369
1995    213    92    52    57    12   250  2352  1741   695   105     2    11   305   120  5038   118  5582
1996     69    98    39    26   121  1469  1652  1754   733   162     0     0   167   186  5608   162  6123
1997     45    11    48   135   204  1336  1292  2032   840   475    87   114    56   386  5500   676  6619
1998      4    97    96    92    18   808  1735  1168  1376   891    20     0   100   205  5087   911  6305
1999     96    50     4     0   427   637  1357   709   460   422     0     1   146   431  3163   423  4163
2000     42    56    18    16   183   339  2324   796   171    11     5     6    97   216  3630    22  3967
2001     32     8    15    91   298  1202  2210  1193   100   104     2   288    40   404  4705   393  5543
2002     18    74    20    16   139  1041   220  1019   517    12    11    44    92   175  2797    67  3131
2003     45   241    20    10    19   765  2921  1456   535     7     3    22   286    49  5677    32  6044
2004     70     4     0    38   176   602   963  2526   220   256     1     6    74   214  4311   263  4862
2005     50   111    73    69   128   983  1668   715  1588     8     2     0   161   270  4954    10  5395
2006      8     1   151     4   122   724  2262  2698   695    55    13    19     9   277  6379    87  6752
2007      8   318   187    23    79   738  1995  2120  1005     1    17    17   326   289  5858    35  6508
2008     19     5     9    74   254   985  1354  1856  1002    41    21    63    24   337  5197   125  5682
2009     32    26    42    33    72   378  2263  1012   414   105    46     4    58   147  4066   155  4427
2010     24    37     2     9    17   522  2373  2500  1613    51   509    67    61    28  7008   627  7724
2011      3   100    17    28    89   635  1509  2567  1614    10     2     1   103   134  6325    13  6574
2012     48     3     1    98    85   180   997  2083  1674    29    16    18    51   184  4934    63  5232
2013     78   230    44   106    43  1121  2387  2031  1467   250    12    10   308   193  7006   272  7779
2014    140    70    77    75   137   191  1606  1285  1253    28     6    26   210   289  4335    60  4894
2015     70    36   384   180    82   864  2523   716   516    27     3     3   106   646  4619    33  5404
2016      7    13    76     2    83   427  1772  2382   377   280     0     1    20   161  4958   281  5420
----------------------------------------------------------------------------------------------------------
     Values are up to 1 decimal                                                               
----------------------------------------------------------------------------------------------------------
MEAN     68    71    56    39   107   639  1876  1576   831   121    44    41   140   203  4924   207  5476
P-Ann    12    13    10     7    19   116   342   287   151    22     8     7    25    37   899    37  1000
 SD      64    81    79    57   111   379   669   714   593   198    96    61   100   157  1287   224  1363
 CV     942  1137  1398  1441  1041   592   356   453   714  1633  2173  1494   716   773   261  1083   249
----------------------------------------------------------------------------------------------------------
146 WEST CENTRAL INDIA RAINFALL (1871-2016)       9 SUBDIVISIONS AREA  962694 SQ.KM.                        
 Monthly, Sseasonal and Annual rainfall (in 10th of mm) 1871-2016 (1871-2014 based on 306     
 stations and 2015-2016 based on IMD Subdivisional rainfall                                   
----------------------------------------------------------------------------------------------------------
YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    JF   MAM  JJAS   OND   ANN
----------------------------------------------------------------------------------------------------------
1871    303    47    14    63   244  2422  2642  1404  2020   172   101    19   350   321  8488   292  9451
